Localidade,IBGE,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Ribeira do Piauí,2208874,4736,5379,5439,7115,7662,8521,9070,10277,11369,12653,13966,16619,15228
Paiva,3146602,4889,5423,6394,7576,7866,8173,8830,10133,11366,11915,12812,13524,15267
Lavandeira,1712157,2871,3583,4369,5512,5653,6242,8090,9581,10932,12132,12851,14215,15301
Pavussu,2207850,4622,5033,5511,7498,7209,8230,9217,10607,11996,13431,14293,16341,15310
Serra Grande,2515708,3871,4355,5389,6434,6722,7163,8981,9219,11833,12522,13330,14439,15355
Pedro Teixeira,3149408,4273,4618,5913,6933,7003,7738,8883,10167,11172,11553,13122,13756,15436
Taipas do Tocantins,1720937,4112,4728,5007,6025,6458,6996,8008,9841,11305,11973,13862,14299,15460
Porto Alegre do Piauí,2208551,3633,3746,4077,5237,5597,6774,8444,9427,13568,15235,13335,17424,15511
Vila Nova do Piauí,2211605,4850,4890,4382,5512,7132,7555,9066,9973,11266,13305,14472,17111,15513
Taboleiro Grande,2413805,4014,4277,5646,5676,6155,7249,8039,9895,11485,12171,13055,14549,15592
Guaribas,2204550,3634,3679,4196,4903,5897,5944,6171,10278,11071,13089,13847,16959,15602
Santo André,2513851,4072,4875,5181,5624,6390,7073,8565,8993,10512,11506,13547,14914,15818
São Domingos,2513968,4493,5108,5509,5883,6661,7042,8288,9621,11376,12859,14649,15769,15835
Hugo Napoleão,2204600,3979,4568,4957,7233,7937,7154,9210,10407,12181,15029,15825,17827,15866
Santa Inês,2513356,4902,6574,6692,8236,7797,8639,10922,10726,15263,14068,14294,15545,15901
Coronel José Dias,2202851,4687,5083,5023,6025,6768,8366,9317,10938,11726,14168,15714,17417,15937
Fartura do Piauí,2203750,4730,4959,5139,6109,6894,8051,8972,10835,12402,14210,15569,17381,15952
Tenório,2516755,3724,4601,4985,5130,5571,6510,8485,9718,11051,12564,13915,16154,15962
Lastro,2508406,4274,4850,5622,6040,6366,7653,8565,9444,11428,12334,14284,15423,15998
Bela Vista do Piauí,2201556,3210,4015,4367,5133,5556,6312,7151,8586,10350,13175,14350,16027,16004
São Braz do Piauí,2209559,3986,4791,4705,6022,6495,8716,8752,10341,11785,14859,14355,17696,16080
Itambé do Mato Dentro,3132800,4959,5538,6273,7056,7609,9280,9791,9633,11299,11308,11853,13992,16184
São Lourenço do Piauí,2210359,4235,4556,4985,6046,6594,8044,8673,10482,11948,13126,14436,16367,16279
Antônio Prado de Minas,3103108,4706,5382,5470,6369,7156,8460,9522,11682,13262,14464,14755,15154,16365
Salgadinho,2513000,4467,4530,5094,5329,6027,7328,8354,9426,11336,12694,14486,15801,16439
Frei Martinho,2506202,5255,5423,6266,7530,7545,8566,9567,10288,12007,12427,14297,15600,16447
Bernardino Batista,2502052,3521,4139,4383,4991,5780,6545,7909,9031,11019,11982,13251,15264,16506
Paquetá,2207553,6155,6053,6601,8560,9391,9582,11046,11832,13950,15213,15649,17683,16566
Jardim de Angicos,2405504,4434,4791,6008,6495,6563,7737,9067,10011,11577,12721,13969,15054,16597
Nova Santa Rita,2207959,4988,5426,5360,6865,7602,9254,9128,10346,12693,14447,15341,17336,16660
Jardim do Mulato,2205250,4305,5045,5470,6350,7779,7351,8177,11512,12563,14263,15652,18070,16668
Santa Terezinha do Tocantins,1720002,3527,4441,5627,7371,8844,9579,10259,11579,13608,14404,16471,16057,16684
Nossa Senhora de Nazaré,2206753,4184,5022,5547,6754,7584,8153,9089,11177,13466,14809,16783,18652,16726
Ipueira,2404804,4054,4481,5935,6171,6812,7972,9277,10167,11095,13305,14433,15459,16739
Brejo do Piauí,2201988,3647,3780,4340,5645,5278,7683,8547,8788,11377,13455,14968,15757,16841
São José do Bonfim,2514602,4154,4956,5329,5888,6485,7239,8451,9753,11002,12406,14165,15964,16871
Mar Vermelho,2704906,5796,6504,6971,7289,8166,9830,10162,11551,13419,15075,16056,15927,16903
Santo Antônio do Rio Abaixo,3160504,3679,3999,4736,5052,5543,6241,6715,8045,9477,10706,12689,14230,16948
São João da Varjota,2209955,4249,4946,5129,6924,7591,8174,9065,10340,12055,13685,15835,18356,16979
Domingos Mourão,2203420,4500,5568,5690,7616,7156,8896,10340,12207,12914,14092,15786,17695,16992
Pindoba,2707008,5808,5067,5679,5886,7093,7926,9842,11095,12516,14857,15608,16749,17042
Ouro Velho,2510600,4599,5503,6643,7505,8051,9425,11063,10578,13528,14528,14963,16149,17175
Pedra Preta,2409605,4658,5262,6218,6590,6663,7223,8838,10709,11643,12660,14422,16440,17235
Coivaras,2202737,3961,4295,4456,5253,5794,6621,7475,9172,11063,13022,14801,16544,17317
São Sebastião do Umbuzeiro,2515203,5241,5168,6623,7046,7897,8895,9989,10683,13277,15205,15790,16852,17459
Várzea Branca,2211357,4485,5099,5292,6500,7138,8726,8797,9775,11665,14972,15626,17842,17532
Wall Ferraz,2211704,4251,4813,5169,6909,7879,8142,9916,10703,12445,16073,16520,19165,17568
Santa Cruz dos Milagres,2209153,6499,7651,8127,10204,9821,9389,9299,10720,12860,13800,15868,18664,17662
Várzea,2517100,4062,4973,5193,5424,6138,6515,7545,9580,11168,13334,14947,16732,17677
Campo Alegre do Fidalgo,2202117,4556,5155,5495,6194,6051,7579,8218,10707,12781,13960,15623,17550,17827
Curral Novo do Piauí,2203271,4424,4372,4595,5915,7404,7036,8443,11441,12926,14459,15140,17497,17857
Cachoeira de Goiás,5204201,4787,4819,6559,7985,8086,9066,9775,10570,13042,14501,18478,16717,17880
Sossêgo,2516151,5718,5386,5602,6514,6715,7567,9289,10568,11588,12822,15186,16516,17951
Socorro do Piauí,2210904,4818,5371,5774,6952,7861,7789,8865,10757,11699,13979,15307,18039,17968
Poço Dantas,2512036,3937,4585,5802,6522,7217,8790,10106,10369,12423,14072,15166,17045,17998
Canavieira,2202251,5187,5402,5759,7470,7759,9938,9681,10797,11532,15848,16315,19274,18040
Santana do Piauí,2209351,4935,5575,5954,6791,8694,10008,10497,11464,14238,15979,18804,21904,18070
Senador Cortes,3165602,5366,5662,6638,7789,8164,9485,10051,11448,14004,14090,15865,16659,18104
Cajazeirinhas,2503753,4903,5536,6202,6820,7568,8490,9731,11248,13280,14900,16258,17867,18105
Morro Cabeça no Tempo,2206654,4709,4893,5439,6621,6772,6778,10270,12536,12792,13969,16183,18823,18158
Carmésia,3113800,5844,6564,6674,8067,8453,9224,9668,10913,12708,13071,14741,16792,18191
Francisco Dantas,2403905,4916,5484,7236,8075,8342,8565,10971,12367,13964,14339,15824,16946,18234
Água Nova,2400406,4585,5561,6474,6220,6964,7697,9015,10638,12210,13889,15250,16761,18365
Serra da Raiz,2515609,5613,6626,6377,6996,8059,8877,10086,10967,13353,13874,15424,17545,18394
Várzea Grande,2211407,4905,5395,5886,8732,8983,8865,10165,11714,12723,14614,16235,17942,18400
Olaria,3145406,6141,6535,7788,9257,9451,10656,10829,13305,17845,15850,16005,16144,18437
Sebastião Barros,2210623,5517,6334,6123,8159,8597,9374,10529,11739,14595,17408,18065,19177,18458
Riachão,2512747,4158,5646,5347,6545,7384,8337,9658,11866,13902,14466,15376,16050,18462
Amparo de São Francisco,2800100,4058,4729,5509,6638,7630,8910,10661,10908,12403,12819,14878,16740,18469
São José do Peixe,2210102,5406,5992,6204,7798,7924,8829,9604,10754,12750,15308,16561,18522,18476
São José dos Cordeiros,2514800,6665,5926,7099,7508,8147,9529,11125,12300,14252,15267,16966,18437,18504
Passagem Franca do Piauí,2207751,4599,5366,6078,7760,8614,8768,9632,10972,16333,14409,17281,19959,18513
Joca Marques,2205458,3527,4452,5167,6618,7388,7973,9553,11869,13333,15072,16330,18437,18521
Seritinga,3166402,4902,5427,6456,7237,8002,9363,10579,11227,13113,14061,15858,17124,18572
Santana do Garambéu,3158706,4472,5087,6039,6793,7357,8101,8979,10610,13078,13883,15939,17269,18606
Francisco Ayres,2204105,5122,5749,6308,8083,8602,9567,11446,13004,14444,17846,16825,19677,18611
São José de Princesa,2514552,8018,11648,11221,12390,10340,10996,14993,12989,17352,17828,18111,19425,18618
Catas Altas da Noruega,3115409,4732,5488,6456,7435,7554,8718,10104,11830,14252,14736,16203,18454,18629
Jesúpolis,5212055,4524,5188,6621,7846,8473,8966,9293,10469,12161,13112,15898,16904,18663
Vista Serrana,2505501,3546,4319,5302,5664,6156,6978,8122,9545,11400,12928,15093,16803,18681
Barra d'Alcântara,2201176,4987,5887,6022,7885,7950,7843,9750,10940,13721,14650,16712,18841,18697
Novo Alegre,1715150,4472,5769,6382,7719,8164,8845,9578,10812,12489,14081,16835,17638,18803
Teresina de Goiás,5221080,4333,5232,5887,7211,8007,8960,10305,10541,13009,14539,16113,17001,18822
Riacho da Cruz,2410702,4107,4760,5944,6026,6822,7981,9384,11375,12968,13772,15011,16814,18902
Flores do Piauí,2203800,4994,5628,6482,9036,7994,10442,9630,11796,13159,16117,17588,18883,18976
Gurjão,2506509,5842,6260,6882,7635,9283,9379,10782,11914,13967,15611,17070,18138,18987
São João da Canabrava,2209856,4862,5256,5613,7337,8467,8975,11750,11334,14129,15651,16564,19301,19097
Cocal de Telha,2202711,4525,5112,5378,6794,7712,8907,9795,11395,13139,16080,17797,19256,19123
General Maynard,2802502,4792,5660,5850,7438,9140,9651,11489,12967,15037,13869,16590,18695,19125
Lagoa de Velhos,2406403,5026,6064,7899,7872,8424,9707,11136,13192,14102,14951,16679,17794,19174
Lagoa do Barro do Piauí,2205565,5308,5882,6532,7652,8463,9888,9676,12008,13995,15667,17638,19372,19197
Rafael Godeiro,2410603,4863,5097,7157,7177,7546,8019,11144,12923,14977,14820,15907,17590,19228
Agricolândia,2200103,5360,5591,6468,8687,9177,9623,10694,11975,14602,15960,17156,21028,19237
Passagem,2409209,4506,5306,9693,6960,7832,8365,10008,11592,12064,13957,16134,18030,19265
Emas,2505907,4480,6000,6514,7757,8343,9598,10894,12179,14082,15913,17327,18729,19302
Jurema,2205532,4876,5184,5289,7137,7171,9816,9890,11744,13373,16858,17372,20631,19305
Cacimba de Areia,2503407,4992,5870,7180,7887,8482,9258,11293,11496,13182,14741,16511,17612,19305
Juarina,1711803,4941,6369,8612,11128,10805,11272,11569,12214,14266,16442,18432,18411,19313
Arraial,2201002,4609,4866,5364,6800,7773,8829,9571,10377,14424,15605,16911,19474,19346
São Francisco,2513984,4453,5229,5943,6881,7191,8242,9453,10183,11957,14204,16255,18103,19411
Fernando Pedroza,2403756,4043,4750,5618,6103,6686,7365,9084,10674,11545,12779,14950,17627,19428
Palmelo,5215801,7431,7563,7998,8365,9218,11732,13382,13909,13418,15242,16850,19793,19441
Marcos Parente,2206001,4927,5331,6107,7299,8540,8645,9502,10661,14189,15198,17977,21199,19477
Logradouro,2508554,5780,7893,7652,8746,9968,9522,11413,13264,14048,15204,16809,18623,19493
Aracitaba,3103306,5734,6181,7150,8281,8272,9919,10523,12058,15025,15531,17209,17582,19509
Grupiara,3127909,5839,6341,7065,8510,10926,11904,11357,13711,16068,16671,17460,17837,19576
Palestina,2706208,5616,6553,7323,7558,8574,10364,11263,12438,14551,15486,17130,17265,19690
Vila Flor,2415008,4278,5541,6560,7712,8221,10680,13066,12435,13014,15227,16142,17670,19726
Bocaina,2201804,6117,6606,6702,7894,9058,10111,11382,18617,14947,15903,17791,20049,19726
Passa-Vinte,3147808,5372,5984,7942,8121,7772,8787,9003,10407,11686,12755,14370,15594,19728
Santiago do Sul,4215695,9056,10324,13368,20305,16062,14797,14883,18003,22201,20772,21354,24833,19730
Bonfim do Piauí,2201929,4869,5199,5246,7019,8010,9740,10026,11856,13640,16207,17472,20017,19776
Lagoa do Sítio,2205599,5465,6198,6718,10112,9250,9694,12105,12437,17051,18903,19560,23460,19805
Guaraíta,5209291,6227,9439,9927,10736,10485,10896,11453,12561,15218,16693,20380,18842,19814
Oliveira Fortes,3145703,5773,6284,7440,8625,9132,10532,10883,12462,14106,14444,16506,17681,19815
Riacho Frio,2208858,6425,5885,7296,8933,10052,10175,10562,12897,14531,16719,16957,20024,19826
