Localidade,IBGE,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Tunas do Paraná,4127882,8059,8451,11509,34786,22122,70939,50196,47597,41767,43722,49561,52620,56180
Patrocínio do Muriaé,3148202,11739,13754,16275,19327,21969,24726,26887,28754,38947,41238,44437,53141,56221
Japorã,5004809,12554,15724,17997,24559,29508,23978,26258,31656,35515,39372,45816,51012,56225
São Francisco do Brejão,2110856,16244,18830,19696,21731,25135,27719,31348,33082,38605,45738,48948,58655,56232
Mortugaba,2921807,18174,16741,19950,22041,24704,30800,34239,38155,43082,45785,50098,55585,56275
São Tomé,2412906,16123,18348,21537,20481,22225,23730,30893,35686,38950,42482,46903,51906,56276
Itapé,2916203,15826,17907,22060,25127,26203,30003,31131,33188,35774,42837,48947,50350,56317
Monsenhor Gil,2206407,12759,14076,14774,16519,20510,21539,27701,33279,69537,44708,56626,63285,56338
Afonso Bezerra,2400307,15072,17141,20353,21743,25055,25501,29453,34674,35485,40679,47044,50683,56374
Almas,1700400,15771,17363,18312,23271,27092,34390,29039,31471,38314,40727,47410,51832,56420
Santa Rosa da Serra,3159704,11689,13465,11586,17242,23092,28324,24907,24322,33823,34461,34784,41293,56478
Divisópolis,3122454,13171,15288,21828,19622,23469,24728,25921,35762,41279,45386,51371,61476,56500
Pedra Bonita,3148756,20558,17925,18420,18415,22312,32575,28910,28095,33926,41361,47741,68561,56510
Charrua,4305371,17328,20004,21162,34017,30038,21196,32325,41737,47925,46341,52226,58334,56519
Ibicaré,4206801,18905,21097,24524,31442,31940,32174,30153,37374,46986,46810,49755,59774,56543
Alto Paraíso,4128625,15275,16902,20456,26727,27856,29540,26665,29532,33963,37762,46211,44385,56561
Uruoca,2313906,12509,13828,15343,19187,21129,22778,27366,30555,37651,41682,48383,57124,56592
Monte Alegre do Piauí,2206605,10433,11514,13112,19267,24417,26847,25142,32610,43409,52700,47617,61650,56593
Senador Salgado Filho,4320321,14538,18659,20081,30117,27620,21737,28523,39104,41191,46485,52746,60219,56663
Ponto dos Volantes,3152170,13823,15190,18709,21215,23014,26987,31204,37832,38878,41007,54735,57923,56689
Sítio do Quinto,2930766,18777,18624,34940,24337,34061,40521,38881,60212,45557,48142,56612,54256,56693
São Miguel do Tocantins,1720200,9233,11982,13951,17168,19622,21928,26235,30505,38650,42978,48957,52636,56729
Vista Gaúcha,4323705,11967,16272,16812,25974,21983,23593,26952,33652,39834,38037,42723,47101,56729
Riacho dos Machados,3154507,15408,16679,20686,20707,20861,23706,22555,33020,53500,53548,42149,48913,56768
Natividade da Serra,3532306,19301,18724,21774,24696,25827,30333,35299,39531,42858,45158,52199,51152,56810
Arabutã,4201273,19164,21928,23836,30611,34722,35434,32199,41118,51552,51348,48198,72969,56817
Floreal,3515905,14526,18982,20826,22599,22299,22130,23622,26758,28897,34732,41434,59883,56856
São Brás,2708204,10002,10900,12271,13019,15174,18510,21637,21984,24291,27586,52504,55128,56947
Brotas de Macaúbas,2904506,14769,15812,19089,20745,22425,24863,28193,29850,35739,41937,48750,52966,56947
Cândido Rodrigues,3510104,17428,31233,27650,28920,34149,30754,46995,41239,43012,48429,54508,57148,56947
São Francisco de Goiás,5219902,15172,17449,22184,27023,29209,30781,29436,31351,35986,38102,47211,51203,56949
Dona Eusébia,3122900,13862,15071,18041,20936,22214,25630,29774,30583,35018,37476,42729,51659,56981
Esperantina,1707405,8890,12087,14836,19058,21416,26022,27983,30488,33337,39467,49150,53010,57006
Icaraí de Minas,3130051,12927,14671,18084,20103,22716,25059,27206,31535,40388,44646,49766,53342,57053
Brejo Grande,2800704,13384,17747,20519,25095,28333,28427,34130,36253,41064,40003,45141,53022,57111
Esperança do Sul,4307450,14008,17214,19190,25769,23382,22383,25652,34009,34366,34627,44137,53280,57111
Buriti do Tocantins,1703800,8917,12220,14769,19072,22874,23210,27437,31794,34723,39749,49747,53287,57171
Meruoca,2308203,14013,13543,16968,21302,23603,25068,29874,30138,35672,39825,48835,56588,57177
Quadra,3541653,17910,16845,22073,23666,25198,25757,28213,31377,37172,52996,49569,61044,57199
Angelim,2601003,12769,15509,16982,20766,21014,24858,28213,31479,34538,41366,42128,49609,57279
Vila Lângaro,4323358,11839,15119,16261,30965,28340,17690,29273,35803,41836,39294,44347,56306,57285
Paraíso,4212239,17202,18750,21319,29966,32112,33687,30957,34338,46584,46508,51726,53840,57333
Caldeirão Grande,2905503,10668,13206,14002,19504,19913,21991,25348,30995,36719,43723,49594,52434,57335
Ponte Alta do Tocantins,1717909,12250,16494,19711,23802,27375,28149,31942,35786,39145,43341,50322,53643,57358
Monte Alegre de Goiás,5213509,13373,15258,20059,24282,25759,33083,36586,40484,45549,40531,50872,52521,57364
Centro do Guilherme,2103158,9321,10435,12562,16366,18613,21236,24347,31704,38669,35086,49466,52890,57390
Rifaina,3543600,12853,14898,16537,19377,21282,23874,26994,30080,31662,35502,45563,50189,57418
Florânia,2403806,14242,15718,20674,21945,24159,25041,30306,31616,35329,42032,45324,50939,57427
Alegria,4300455,20896,23247,24811,40936,33887,26155,32132,44732,46073,48876,56183,61674,57436
Cerro Branco,4305132,19655,25408,25906,30503,33635,31214,36757,43071,52472,55279,55570,59710,57439
São Miguel do Anta,3163805,17896,18084,22469,26022,24989,30153,31660,34213,37013,38980,47377,54173,57445
Moreilândia,2614303,16764,17351,19371,22365,23849,27415,30578,32471,37251,43239,50720,53704,57545
Figueirópolis d'Oeste,5103809,16597,16380,19753,22828,25479,29014,30312,31995,38173,42980,51363,53569,57582
Capão Alto,4203253,16659,18243,19773,25290,26720,28937,30959,29673,44022,47536,54981,58238,57605
São Sebastião do Maranhão,3164506,13862,15665,19496,21009,23342,26647,29337,33367,39360,44200,49781,56311,57610
Lagoa Real,2918753,15587,16272,19372,21254,24417,28650,29523,36239,38098,41839,51591,52983,57621
Sebastião Leal,2210631,6697,8004,7838,15701,20766,24383,32805,35571,48096,35032,67491,57382,57646
Quatipuru,1506112,14330,16881,20129,22539,25312,27855,35505,39528,43174,47859,51566,54094,57678
Quixelô,2311355,24195,34130,32177,37625,39019,43379,54219,46160,54588,56962,66241,77196,57750
Jaqueira,2607950,27364,37863,22940,23219,27339,29128,34646,37953,43091,47623,53505,57534,57764
Apicum-Açu,2100832,11178,13009,13512,15086,17206,18406,28181,30714,33394,37945,46257,52104,57780
Ipira,4207601,17358,19479,20793,26176,28739,31216,30393,33511,41310,43036,44613,63812,57819
Iguaraci,2606903,16146,17129,20138,22618,25548,29596,34312,35088,41802,46001,48656,54123,57925
Jequitaí,3135605,18017,19230,22291,24463,29613,31679,30856,35476,64009,44983,48837,52338,57952
Presidente Lucena,4315149,13008,15679,17323,23968,23104,24892,25722,29006,30591,35721,43135,49179,57973
Itaguajé,4110904,15054,14253,18269,24314,24219,24509,25753,26407,31321,38423,44033,48296,57989
Barro Alto,2903235,13535,14183,20712,24427,26817,28550,28409,34070,35803,41746,49616,57322,58001
Apuiarés,2300903,14740,15686,18405,21322,23860,28252,31702,33643,42157,44143,51750,58591,58006
Mossâmedes,5213905,15412,18051,23169,25718,27804,26885,29183,32979,40763,46622,58766,85541,58019
Guaraciaba,3128204,18610,19815,21559,24178,25878,28969,29893,34587,38747,44610,47043,52406,58055
Zacarias,3557154,11713,14392,18257,21233,22010,24856,26432,35765,38399,40573,54323,60067,58084
Piedade de Caratinga,3150158,15789,16119,17884,17209,22116,29533,27482,30873,38320,39775,43286,53067,58123
Igarapé Grande,2105203,13328,14299,16912,18307,20917,24334,29695,34738,42033,44710,52356,61822,58209
Xavantina,4219606,24094,27992,32748,46040,58302,64849,49486,67251,90785,80440,76640,84407,58218
Rosário do Ivaí,4122651,15852,16840,19631,24573,25892,30684,46428,51190,37571,41238,48355,49257,58276
Igarapé do Meio,2105153,7990,10812,12398,15110,17737,21680,60535,82546,111667,75173,52372,58723,58288
Buritirana,2102358,13390,19161,20429,25326,29184,30057,32209,35048,40010,48776,52050,55361,58305
Novais,3533254,13624,21806,28383,28459,24872,29809,29921,28798,26819,37937,41294,51355,58311
Pavão,3148509,16947,17914,21230,21964,23143,25731,31034,37385,43254,45893,49438,53615,58342
Augusto de Lima,3104809,15108,16773,20081,23462,25202,25969,26709,30894,34922,34940,50724,51325,58357
Periquito,3149952,11945,14047,15374,26045,21154,25281,32397,34713,43393,42675,45374,47506,58360
Darcinópolis,1706506,7236,12193,16743,21198,22405,31714,27340,29740,39184,44232,52791,50027,58362
Matões do Norte,2106631,9520,9895,10947,13010,16189,18429,24349,29275,37715,37221,45833,53434,58420
Galiléia,3127305,17128,19070,20443,22921,25170,29958,33716,37214,41498,44622,47719,52621,58430
Rancho Alegre,4121307,17417,22669,26303,41080,43373,28265,23163,33467,41640,33327,40027,48516,58492
Muribeca,2804300,11835,14805,18366,19772,24517,26514,30040,29646,34038,41947,50236,54239,58515
Paineiras,3146404,19033,18449,20881,24168,25919,28217,29174,33599,62540,40296,47709,47874,58540
Mombuca,3530904,12950,16129,20610,23690,21989,27896,30383,31217,32364,32033,41965,50590,58561
Inimutaba,3131109,15123,17017,19785,23060,28006,30148,29494,34537,41261,44954,60820,56929,58568
Vereda,2933257,21323,29658,29020,33646,34296,28792,31435,37420,41146,48750,75424,56305,58581
Relvado,4315453,9210,12158,13458,17410,17200,16731,19865,22484,24259,25667,35251,48791,58668
Arapuã,4101655,12619,16606,19914,30836,29943,23870,24535,32159,42629,38869,39228,50821,58678
São Luíz do Norte,5220157,13269,13598,18305,22580,40212,32106,34956,45724,51393,51390,58665,58010,58691
Aratuba,2301406,20983,21910,23737,30192,34423,36583,43776,48318,54756,50271,60079,65713,58733
Flexeiras,2702801,22275,24961,23549,26650,25744,28715,32425,33785,40783,45637,51245,55127,58762
Graça,2304657,15064,18411,20947,25201,28402,31728,37815,37557,43498,48741,55261,60202,58854
Cruzmaltina,4106852,17460,23316,27854,41570,41251,29306,26306,33525,42505,44736,50756,59164,58911
Romelândia,4215208,22552,24547,27502,34710,40252,42144,38946,45793,58492,62814,63898,63046,58915
Aracatu,2902005,15693,17755,19223,21794,23313,27788,28947,32335,36142,43417,50915,55379,58957
Alfredo Marcondes,3500808,14058,15807,18414,20155,20894,23457,25247,28649,33852,38085,47262,50551,58998
Salgado de São Félix,2513109,16661,19053,20545,23875,25953,27800,32067,36559,42781,45179,46933,53546,59007
Aveiro,1501006,12851,15419,17485,22401,25897,31053,32753,39099,49197,54482,53043,53792,59111
Cedro,2604304,12472,14423,16045,18891,22560,24233,27741,31020,37830,44357,46181,58658,59148
Passos Maia,4212270,15787,17354,22255,28549,28713,31875,33250,40211,53818,60187,53554,64865,59179
Dário Meira,2910008,15621,20238,23555,26734,32725,34249,37130,38428,42058,47623,55003,56871,59180
Ângulo,4101150,13093,15923,19423,25643,25075,22422,22579,29561,35786,32745,39413,49398,59207
Nova Santa Helena,5106190,0,9581,14749,19961,21837,24875,25091,31225,46031,48997,47356,48070,59208
Delfim Moreira,3121100,31899,39602,49573,32124,32910,34138,29630,34204,38171,44619,50017,56247,59250
Porto Amazonas,4120101,19709,20515,24734,31483,35368,35295,34944,40561,47434,49989,57672,52797,59307
Poção,2611200,16006,17441,19576,21857,25423,30995,33366,37049,41083,42417,49398,55636,59353
Ipecaetá,2913804,16423,19781,21060,24307,26234,31931,35349,37290,39665,48708,57486,56644,59369
Paripueira,2706448,17175,16999,20309,20544,25204,29260,32229,33617,38239,44012,55766,62488,59400
Vespasiano Correa,4322855,12381,13810,17611,23966,27623,26378,29277,38319,40775,40048,44210,50454,59453
Alfredo Vasconcelos,3101631,16746,19104,23378,34624,56713,50832,47120,34883,45379,45771,48158,50989,59507
Barra do Turvo,3505401,15044,18739,20400,22453,24913,29160,32341,35564,37217,44991,51483,57636,59540
Nossa Senhora das Graças,4116406,12946,16081,21200,29034,28098,25914,31658,28587,30546,33363,37069,45836,59566
Maraial,2609204,29907,28575,30211,34224,41417,49420,50773,56284,70775,81413,91984,83542,59586
Arara,2500908,16281,16794,18788,22647,25590,27415,32334,36250,43890,44836,49617,56459,59631
Ipiranga do Sul,4310462,14934,18898,21317,35349,31826,23753,31072,40789,45905,44484,49094,60737,59686
Angelina,4200903,24119,25080,27771,34203,35992,38872,37541,39830,54421,63271,65948,60427,59689
Massaranduba,2509206,22436,25084,26861,30346,30253,28880,36325,40474,48771,52754,55385,58723,59694
Matrinchã,5212956,18253,16768,23942,29028,33868,31634,30475,34145,42622,45927,57513,62130,59747
Cafezal do Sul,4103479,14978,15021,17679,23063,25947,26519,27008,29098,33022,34596,42489,46164,59780
Olinda Nova do Maranhão,2107456,12380,15888,17261,18598,22602,22242,26432,32720,42636,35616,46980,55417,59813
Paulino Neves,2108058,11668,13267,15511,19025,21593,24463,25956,30305,46555,51496,54758,62403,59843
Pedras Grandes,4212403,21914,26682,31862,49941,43788,50582,52391,49399,65559,66078,66657,77845,59859
Iraceminha,4207759,19534,18887,23964,36781,39532,32276,33737,38791,55063,60550,67343,79465,59893
Heliópolis,2911857,13300,14911,17819,21382,23044,28371,30187,35455,42059,46990,52193,55675,59918
Vila Nova do Sul,4323457,17259,20964,22600,32124,35770,37219,38233,43792,47054,49074,54914,58612,59966
Laranjal,4113254,14082,14192,17836,21162,24449,26819,29396,32997,41212,44707,49691,53657,59993
Pilar,2511509,16492,24635,21732,24472,27185,27966,35836,38429,43877,48697,49107,56358,60069
Milhã,2308351,17954,18428,23492,25345,26833,33602,39052,39242,53755,49257,56014,65264,60089
Itanagra,2915908,8557,15403,15580,26263,17672,21844,27155,30210,31801,28310,44976,43807,60105
Açucena,3100500,19874,21900,24246,29237,28958,32225,35855,39551,46401,52865,57709,61796,60128
Lago dos Rodrigues,2105948,12409,14026,15059,16665,21161,27279,33243,38896,50518,44790,63716,79139,60139
Nina Rodrigues,2107209,8943,10040,12313,13520,15734,18873,22353,26231,34321,33599,43104,52935,60156
Foz do Jordão,4108452,19855,20869,26361,35936,34351,32146,31748,36786,41123,46070,46788,54353,60207
Puxinanã,2512408,18949,20745,25647,26890,32129,32434,37764,41186,54910,59967,61040,58988,60247
Boninal,2904001,14966,16622,18759,21545,23082,27436,29489,34628,37396,42536,49713,57319,60255
Santa Rita de Minas,3159357,20867,23139,27234,25717,32462,38087,37099,53519,77301,58607,59460,59241,60339
Ninheira,3144656,11706,14803,16952,18593,20788,21883,26354,31532,38561,43351,47069,54372,60468
Jordânia,3136504,15135,16477,19986,23998,25798,28478,31762,34506,41451,45294,49696,54790,60521
Reduto,3154150,15229,17579,30061,31785,42534,39531,43815,40329,41739,43817,53793,80720,60543
Curimatá,2203206,11895,12639,14960,17368,20282,22562,24277,30604,32769,40100,44225,54373,60589
Saúde,2929800,16407,18922,20747,24861,25772,28399,31446,33768,37497,41918,49886,52334,60652
Santópolis do Aguapeí,3548401,20944,19914,25349,34309,29393,31357,40834,37157,37497,42167,52213,57741,60653
Bom Jardim de Minas,3107505,19519,20877,25699,26977,26687,29107,31461,35052,41367,45956,51332,54983,60689
Ponto Belo,3204252,23886,21383,21032,25205,27765,28985,38023,44902,52543,56428,64463,64364,60711
Chaval,2303907,13808,15625,17996,21231,24882,29414,32610,32300,40453,44236,51724,58456,60728
Várzea Nova,2933158,20738,24069,24786,29482,32425,33904,41607,48973,46382,54187,63192,66620,60788
Urutaí,5221809,10179,12575,16696,19243,22542,24168,25204,28517,36016,38245,43300,50215,60799
Tururu,2313559,12777,14121,15949,19942,23059,25569,29941,29895,40918,41088,51871,58120,60839
Pedras de Maria da Cruz,3149150,15996,17801,21917,22689,25627,28065,31542,40301,49746,51784,48889,53958,60839
São João do Oriente,3162609,18264,19774,22399,27368,30763,35154,35314,38459,44919,47453,53620,55369,60864
Santa Ernestina,3546504,19516,23692,29067,32384,27892,31655,38129,41565,37287,43546,50711,54721,60904
Riversul,3543501,20673,22435,27297,31236,30644,30341,31535,36300,40763,43664,47912,50628,60928
Coqueiro Baixo,4305835,0,7799,8636,10888,9731,10278,13308,15523,16112,16480,26965,45799,60932
Mucambo,2309003,15368,18312,21372,25878,30001,29916,34126,35646,42957,45531,53014,62668,60943
Alto Caparaó,3102050,22381,19647,15369,19652,25385,26134,32298,25522,40497,47444,44585,62848,60976
Maxaranguape,2407500,14085,18549,24427,25833,27168,29765,40920,39692,41283,45652,53453,57171,61010
Iuiú,2917334,18757,21757,27746,31801,40803,38275,35858,42857,48941,54433,56769,81154,61101
Demerval Lobão,2203305,13198,14163,15033,18225,22049,23857,25251,29050,32048,34710,42611,49703,61106
Lençóis,2919306,15052,15448,22251,27969,32482,34374,37306,45060,43913,53173,53033,57732,61117
Lajedão,2918902,16140,18221,20495,36411,19878,21234,21673,25457,26527,28053,34533,58203,61129
Itagimirim,2915304,15922,18036,21601,26644,32175,43579,33608,34762,38507,42279,60227,72271,61139
Antônio Cardoso,2901700,14435,15408,17928,28130,22730,27187,30629,32635,44270,52436,59222,60061,61147
Sede Nova,4320230,15806,18307,18778,26610,25898,24843,33455,44589,46324,43657,50019,57766,61170
Nicolau Vergueiro,4312674,13789,19263,23811,32308,28004,17363,28074,37190,47708,46841,49643,63838,61185
Ubaí,3170008,16993,18529,21695,24466,24849,29637,33043,37620,46680,51115,54098,58717,61232
Itacajá,1710508,11709,16635,17817,21617,26649,28822,30900,34606,38712,49169,57132,58065,61309
Braúna,3507704,15596,18120,24959,24973,25594,27343,31818,39749,36424,40778,48405,56884,61316
Sentinela do Sul,4320354,27961,29932,30078,30796,30635,26120,32723,34726,49997,49021,54483,53338,61379
Panamá,5216007,15315,14514,21176,28491,30994,24515,26084,33009,43532,49961,44335,48174,61391
Munhoz,3143807,26596,27371,30511,33012,33300,35752,38568,41965,51845,53738,59511,54765,61452
Santa Filomena,2612554,14409,15437,19090,20231,22436,27106,31210,31997,40151,45567,53281,56783,61472
Santa Cecília do Sul,4316733,0,12286,13653,20386,19781,13555,22377,24521,33184,28954,37949,56462,61511
Pontal do Araguaia,5106653,11986,13446,17205,18979,23103,26185,29137,33783,39187,42831,56443,56317,61539
Claro dos Poções,3116506,16342,17147,20832,23779,24940,31970,33005,38767,51052,53826,59948,59159,61560
Aiuaba,2300408,16242,15550,18725,24235,24448,29668,37445,38788,48338,48680,53768,66998,61575
Caseiros,4304952,15597,16892,18867,29266,28460,21966,31331,33490,44271,43984,51387,52771,61667
Presidente Alves,3541109,20303,24883,28712,31526,32361,41601,58010,50737,59044,56344,58857,60891,61673
Nova Timboteua,1505007,14981,16578,19149,21631,24497,25689,28040,30571,37374,44804,49751,56015,61768
Ibiaí,3129608,13108,14075,16657,19667,21582,24876,27972,32571,36154,37706,43950,59200,61775
Governador Eugênio Barros,2104602,15100,16740,18694,20550,25867,27278,33757,37841,41968,51488,51898,60199,61786
Caraá,4304713,16274,19273,21612,25268,26999,27902,32117,34357,37691,43584,51313,53760,61812
Guzolândia,3518909,16245,18134,24282,30088,31965,28070,27219,34286,37297,45982,53911,64962,61900
Itacurubi,4310553,17457,22646,23660,31910,33036,30428,31204,40525,49777,51273,59076,58864,61902
Saboeiro,2311900,18662,19447,24190,26747,27940,31980,33047,35818,42963,48816,55493,61788,62017
Magda,3528304,16132,15863,19517,21676,25817,23851,27906,34508,33161,38063,49033,66552,62053
Indiaporã,3520707,18890,22510,26793,31761,34589,32522,33701,40371,42149,44273,64107,57731,62095
Ibarama,4309753,21120,27652,28768,34433,35138,35482,42963,48059,54453,54062,56294,62343,62145
Aragoiânia,5201801,16969,18709,23116,25182,27562,27382,32341,37305,41403,43004,48649,56219,62156
Jiquiriçá,2918209,17056,19691,21219,24036,25917,32020,34497,37802,41274,50849,58394,58805,62200
Ipiguá,3521150,14789,23736,20920,23310,25270,28649,26049,33440,32328,34389,41090,53127,62204
Ribeirão do Largo,2926657,24868,32223,32552,35259,32956,44130,45620,49077,55374,63917,55956,63230,62225
São Pedro da Água Branca,2111532,11619,14739,17081,18963,21841,31139,33713,48021,95423,65298,104482,131623,62229
Bandeirantes do Tocantins,1703057,12983,16984,20980,27810,39434,32315,34670,37529,51909,49511,54434,79155,62240
Uibaí,2932408,16500,17012,22147,23810,31776,32477,32439,36249,39940,45929,52098,57155,62284
Jenipapo dos Vieiras,2105476,12399,16345,17161,20026,29495,30903,35159,40948,47756,51659,51476,56649,62303
Santa Bárbara do Leste,3157252,18141,19511,24271,22774,28486,34725,33971,34400,47828,43329,45155,58191,62345
Axixá do Tocantins,1702901,13393,16440,19858,23168,25699,27334,31086,37048,41369,47060,54211,57469,62366
Inconfidentes,3130606,20805,24359,27853,31032,36558,40630,42895,37861,44358,47630,53450,61340,62436
Candiba,2906600,14254,15834,18476,21486,23216,28118,30235,36038,40338,43856,52923,59896,62485
Xambrê,4128807,15755,16402,22493,26943,29188,33745,34592,37550,42970,43157,50063,50255,62544
Jacaraci,2917409,17331,18977,23461,25808,29082,32066,33377,39420,42205,49673,54655,57985,62551
Juruá,1302207,10346,11410,15601,17797,19519,22000,30513,34748,35811,40123,50206,58673,62579
Lajedo do Tabocal,2919058,16482,19353,21780,29433,29172,36815,33592,37648,40381,47438,45580,54556,62594
Juripiranga,2507903,13708,16506,19577,28806,34534,32090,34754,36649,39081,49860,54200,63719,62610
Sabino,3544608,29464,24001,32994,32411,33417,34991,34854,55745,42479,71264,80948,83790,62648
Cachoeira de Pajeú,3102704,21508,22718,26470,32553,43460,48773,40760,44380,41083,48884,57142,56616,62656
Pedra do Indaiá,3148905,16725,20205,20906,24549,29670,30395,33214,37026,48487,46049,55609,56657,62679
Jordão,1200328,12917,12952,14265,17845,20116,23838,30126,39420,53402,41692,48394,52948,62715
São Miguel do Passa Quatro,5220264,19495,23122,35635,36481,29796,31311,25761,31092,45030,51353,52741,58190,62750
São Pedro do Butiá,4319372,14915,18456,19024,32758,27236,29874,34865,47757,59383,57350,58532,61183,62762
São Valentim,4319703,17463,20755,23229,33486,32394,28634,35637,44540,51013,45978,56778,60114,62762
Arco-Íris,3503356,10458,12375,23360,29223,40171,37872,33977,38033,40155,40811,48672,50089,62778
Jussara,2918506,15102,17068,21196,22976,31635,33133,32402,34862,38803,43775,53493,61557,62801
Ipiaçu,3131406,20095,21722,25991,35704,38758,40274,64630,49745,52009,51681,54497,71116,62925
Curuá,1502855,11915,14469,17563,20965,23678,27341,33190,34839,44342,51893,64236,55185,62962
Barra de São Miguel,2700607,18505,18431,21259,26279,29974,32419,34382,38749,42589,47484,51400,59541,63045
Botumirim,3108503,10809,11488,12798,15332,15667,18720,19523,20304,24883,26916,34338,37699,63063
Meridiano,3529609,17898,23743,28209,33223,38949,36689,39589,38598,39594,42132,59076,61642,63067
Munhoz de Melo,4116307,11709,12948,17575,26618,25366,20595,22125,25872,31513,32426,38223,47995,63071
Ocauçu,3533700,18720,20010,28211,29186,32092,36263,36171,40655,43414,44975,67408,65066,63112
Itajá,2404853,10214,11629,14326,15037,17326,21145,23950,25093,27121,34785,55448,61943,63234
São Pedro do Piauí,2210508,15186,17333,18809,27712,30123,29426,35372,38997,43430,48492,54290,58897,63270
Pinheirinho do Vale,4314498,17633,19403,23310,32394,28955,30758,35034,44632,52881,50017,54884,57407,63290
São Vicente Ferrer,2111706,14396,18318,20229,22486,27550,26612,31859,35123,44371,39543,50197,56674,63297
Itaara,4310538,23766,23508,24621,29041,29196,29005,34278,39581,43776,48131,57982,60488,63365
Salitre,2311959,15009,21289,31559,47636,35422,31987,41081,50413,81363,77842,63641,77217,63377
Montanhas,2407708,16253,18919,21610,21232,24995,29582,31972,39103,42789,48882,51229,57415,63406
Santa Luzia,2928059,17889,18769,22329,25706,33903,34621,37184,39730,44603,51752,56242,59371,63419
Tabocas do Brejo Velho,2930907,16965,15981,16203,18991,22768,24507,28902,32197,38268,45120,50783,57896,63453
Natércia,3144409,15729,17495,21142,22979,28857,33807,36928,35869,42958,47140,52851,68018,63462
Novo Cabrais,4313391,15831,21282,22903,27306,30465,27745,33011,37092,43830,50292,49561,55070,63505
Coroaci,3119203,19528,21096,27607,28007,31385,33934,38858,43035,57313,56228,63275,75432,63527
Araponga,3103702,18155,17169,16781,22801,24322,27499,29769,31830,42947,42627,49114,66492,63621
Catarina,2303600,15270,15938,20217,22700,26051,30045,33111,35617,44886,47668,58989,64442,63679
São José do Campestre,2412302,18039,20740,25473,25500,34697,38786,34132,42438,45864,49353,55713,60269,63701
Vale Verde,4322525,13272,16112,22021,28065,35226,29202,35164,37592,42964,48851,47548,48070,63728
Pocrane,3151909,20022,24282,24785,27650,30893,33678,35622,38712,46831,55323,58270,61041,63844
Indiavaí,5104500,7004,7779,10174,12403,14838,16826,35743,34083,49370,46327,57934,82583,63863
Moema,3142403,19651,21378,23290,26356,30472,33242,34477,38529,44343,45383,51955,57791,63865
Chã de Alegria,2604403,27051,25790,22898,23459,24752,26680,31305,34489,38235,43440,57096,60621,63865
Aiuruoca,3101201,23104,24578,26507,31614,34953,39883,39054,43545,52170,52948,58504,57842,63885
Arataca,2902252,14907,18205,23262,25385,27594,37784,38466,42889,55261,58705,62157,62270,63939
Saldanha Marinho,4316436,22998,30206,30959,52766,48212,32155,44036,58288,65012,74045,67465,79462,64015
Palminópolis,5215900,12827,15615,18177,21432,22179,25177,25524,28743,32288,38446,44915,51939,64045
Quebrangulo,2707602,16135,17166,18342,20351,22241,27355,30377,34315,40707,43238,56364,58268,64056
Diamante d'Oeste,4107157,13951,14124,19105,27900,29721,33691,31606,40878,48943,43418,51604,55131,64061
Quevedos,4315321,13604,21860,26058,42815,31661,23186,39272,48549,60945,61081,60242,73270,64074
Mormaço,4312427,11684,17025,19819,32307,27346,19702,28339,39967,46107,49820,52707,61296,64121
Erebango,4306973,19305,24402,23303,34972,32605,22989,34684,43680,48491,41162,45945,62052,64138
Boa Vista do Incra,4302238,0,32998,36546,67198,38838,21684,45565,53247,72710,74581,66438,83736,64150
Águas de Chapecó,4200507,22791,22447,26220,34636,39796,38536,39684,66279,116333,127543,125141,97548,64153
Piranguinho,3151008,20958,21312,24412,25939,30771,34613,35164,37962,43625,46242,51365,59409,64158
Licínio de Almeida,2919405,17859,17988,25439,26652,32183,32992,36622,41250,44206,52036,56792,61764,64188
Sulina,4126652,14073,14413,18618,25586,30342,27726,26368,31583,43408,42535,46842,55336,64198
Cruzeiro da Fortaleza,3120706,15133,16397,18749,22011,25299,27701,27143,31968,42182,47820,49401,53265,64311
Várzea da Roça,2933059,17097,18888,20136,22668,23606,27812,32478,35107,39802,46118,51187,56264,64325
Maranhãozinho,2106375,9760,10131,13997,16831,21563,27555,33338,40298,61198,56929,83858,72672,64444
Biritinga,2903607,14749,17628,21762,32428,27611,36168,37887,39019,43081,54963,63419,68813,64447
Serrolândia,2930600,14016,15875,18818,21400,23872,27473,31116,35197,39371,46055,53438,58179,64448
Bonfim,3108107,15659,16088,17827,25015,22995,28373,30773,37098,40061,44096,49219,55192,64663
São Thomé das Letras,3165206,18685,19723,21794,32209,37964,40858,41575,39237,49475,51703,56961,63530,64715
Estrela de Alagoas,2702553,17411,19350,21408,23236,26454,31043,34742,37979,43837,48973,56133,64238,64769
Porteiras,2311108,17810,18606,22612,28756,28292,31142,34743,39221,48632,53113,58683,66874,64790
Cerro Corá,2402709,17457,19346,25766,25954,27431,28606,33489,39396,42150,50112,54949,61960,64820
Rio Negro,5007307,17309,21433,22478,25270,32850,34100,36341,39590,48755,55253,55619,58997,64821
São João do Paraíso,2111052,18550,24810,26489,32132,35481,39338,43458,44693,57650,50481,51911,61544,64822
Ibipitanga,2912509,17944,19051,19719,22203,31388,28214,33215,37876,42242,44121,51163,57984,64823
Cristópolis,2909703,18101,21180,24211,21990,24082,28056,31350,34843,40973,47778,54593,59632,64945
Calçado,2603306,17574,22901,23211,28447,31452,32964,37116,40270,43157,54447,56051,60887,64983
