Observatório do Plano Nacional de Educação

Produto Interno Bruto (PIB);
PIB;
Localidade;Código IBGE;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;
Alta Floresta d'Oeste;1100015;98023,0;108233,0;130458,0;155300,0;174997,0;186967,0;190505,0;233494,0;302620,0;305788,0;335700,0;348804,0;383885,0;;;;
Ariquemes;1100023;381793,0;399805,0;453783,0;535157,0;638674,0;700915,0;735440,0;839784,0;1015962,0;1041017,0;1293583,0;1561170,0;1537870,0;;;;
Cabixi;1100031;33496,0;35168,0;40770,0;50497,0;60879,0;77122,0;68804,0;75600,0;85719,0;104588,0;99413,0;117396,0;162482,0;;;;
Cacoal;1100049;385936,0;407175,0;490165,0;626541,0;625988,0;751181,0;730470,0;804538,0;932122,0;908920,0;1168598,0;1274121,0;1324657,0;;;;
Cerejeiras;1100056;89765,0;84920,0;95892,0;114612,0;142651,0;146866,0;148987,0;166546,0;200670,0;237951,0;272456,0;336194,0;443765,0;;;;
Colorado do Oeste;1100064;83490,0;85878,0;96321,0;106476,0;124994,0;138712,0;144414,0;162946,0;184106,0;212201,0;226200,0;238811,0;255339,0;;;;
Corumbiara;1100072;40046,0;48729,0;58641,0;70628,0;93768,0;101370,0;97943,0;106536,0;138368,0;192822,0;195073,0;261379,0;319420,0;;;;
Costa Marques;1100080;24507,0;30012,0;37885,0;48789,0;55590,0;63321,0;70785,0;83192,0;103993,0;120085,0;135446,0;150582,0;166584,0;;;;
Espigão d'Oeste;1100098;111948,0;117712,0;149448,0;185695,0;195450,0;214883,0;213301,0;247786,0;299734,0;319671,0;366781,0;425903,0;398483,0;;;;
Guajará-Mirim;1100106;136125,0;154043,0;193888,0;262667,0;330751,0;347526,0;340745,0;407909,0;547283,0;489996,0;650329,0;820548,0;786514,0;;;;
Jaru;1100114;253157,0;277010,0;334116,0;391892,0;443145,0;552401,0;511256,0;590373,0;656070,0;650282,0;794619,0;887755,0;952525,0;;;;
Ji-Paraná;1100122;512578,0;537957,0;624322,0;741375,0;861672,0;1000629,0;989794,0;1143911,0;1373756,0;1401633,0;1686535,0;1955382,0;2043809,0;;;;
Machadinho d'Oeste;1100130;66506,0;68998,0;92538,0;137938,0;174106,0;198530,0;195002,0;219998,0;299082,0;303829,0;318434,0;356439,0;440390,0;;;;
Nova Brasilândia d'Oeste;1100148;70525,0;69180,0;76847,0;98788,0;99202,0;115956,0;115180,0;154177,0;180776,0;163267,0;194347,0;209176,0;225305,0;;;;
Ouro Preto do Oeste;1100155;181024,0;179618,0;207167,0;252958,0;274436,0;305507,0;304604,0;337466,0;380141,0;406870,0;472402,0;493594,0;515057,0;;;;
Pimenta Bueno;1100189;143166,0;156831,0;184053,0;221883,0;260480,0;305719,0;298678,0;328920,0;424911,0;513645,0;688400,0;810005,0;683814,0;;;;
Porto Velho;1100205;1469893,0;1772269,0;2143974,0;2667654,0;3136545,0;3700677,0;3780707,0;4361066,0;5066906,0;6606568,0;7520522,0;9518428,0;9775427,0;;;;
Presidente Médici;1100254;101785,0;100178,0;111390,0;131936,0;148607,0;161714,0;168049,0;186949,0;219708,0;245864,0;269390,0;295100,0;308150,0;;;;
Rio Crespo;1100262;15428,0;17155,0;20892,0;26666,0;28429,0;33051,0;36611,0;41832,0;56090,0;89962,0;72340,0;72064,0;95149,0;;;;
Rolim de Moura;1100288;208769,0;216758,0;248762,0;288102,0;315131,0;398569,0;409572,0;455312,0;542876,0;520172,0;615912,0;774912,0;810559,0;;;;
Santa Luzia d'Oeste;1100296;43420,0;47428,0;55522,0;68243,0;72925,0;77478,0;82228,0;91048,0;110155,0;114679,0;117354,0;165456,0;176776,0;;;;
Vilhena;1100304;427561,0;444711,0;457046,0;589578,0;705183,0;782927,0;773623,0;923330,0;1114699,0;1187864,0;1415472,0;1522776,0;1879427,0;;;;
São Miguel do Guaporé;1100320;79610,0;82735,0;91130,0;125287,0;149861,0;160679,0;163030,0;194876,0;228143,0;283647,0;393259,0;394961,0;393627,0;;;;
Nova Mamoré;1100338;40289,0;46705,0;60177,0;77775,0;101689,0;124703,0;136956,0;161038,0;195570,0;226469,0;256071,0;290371,0;321467,0;;;;
Alvorada d'Oeste;1100346;68022,0;67719,0;81387,0;103832,0;118217,0;123664,0;127610,0;133188,0;149718,0;159432,0;179299,0;193713,0;215906,0;;;;
Alto Alegre dos Parecis;1100379;39891,0;47923,0;55479,0;69507,0;81367,0;90262,0;93273,0;113112,0;142176,0;160811,0;159055,0;176031,0;208389,0;;;;
Alto Paraíso;1100403;43144,0;50116,0;56762,0;83000,0;91932,0;104310,0;107688,0;133348,0;163474,0;179123,0;201630,0;230917,0;233100,0;;;;
Buritis;1100452;60342,0;75133,0;95536,0;142973,0;176960,0;200297,0;213251,0;251244,0;303120,0;326377,0;370021,0;424992,0;443811,0;;;;
Novo Horizonte do Oeste;1100502;38449,0;42814,0;57987,0;74786,0;77633,0;85616,0;79405,0;85963,0;105427,0;113300,0;119113,0;124715,0;126715,0;;;;
Cacaulândia;1100601;28957,0;33012,0;39252,0;51264,0;55410,0;60251,0;62428,0;76655,0;94531,0;102535,0;118347,0;122880,0;135628,0;;;;
Campo Novo de Rondônia;1100700;27682,0;32444,0;41076,0;54434,0;67321,0;73521,0;75745,0;86378,0;116423,0;132700,0;152797,0;183623,0;200668,0;;;;
Candeias do Jamari;1100809;46638,0;55054,0;74612,0;88017,0;122391,0;126136,0;194636,0;174767,0;185032,0;231936,0;262652,0;337056,0;355883,0;;;;
Castanheiras;1100908;17637,0;20494,0;25183,0;30864,0;34971,0;43516,0;41044,0;43483,0;52671,0;53640,0;57002,0;59820,0;65011,0;;;;
Chupinguaia;1100924;33615,0;40243,0;49891,0;69639,0;90012,0;95775,0;103431,0;118810,0;163805,0;184108,0;240152,0;276949,0;349838,0;;;;
Cujubim;1100940;23612,0;28834,0;37015,0;45959,0;54372,0;63510,0;72580,0;94169,0;130152,0;193676,0;199954,0;210531,0;221181,0;;;;
Governador Jorge Teixeira;1101005;39660,0;44954,0;56274,0;77424,0;89379,0;99058,0;100078,0;107551,0;113950,0;123577,0;136405,0;153632,0;155999,0;;;;
