Observatório do Plano Nacional de Educação

Produto Interno Bruto (PIB);
PIB;
Localidade;Código IBGE;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;
Quixaba;2611533;9653,0;10006,0;13657,0;14022,0;14302,0;16374,0;19690,0;20723,0;23338,0;27095,0;28312,0;32383,0;35311,0;;;;
Recife;2611606;9811668,0;10642915,0;12602473,0;13104684,0;14425017,0;16324073,0;18316659,0;20689607,0;22470886,0;24720436,0;30176875,0;33138833,0;36821898,0;;;;
Riacho das Almas;2611705;25430,0;29632,0;32305,0;36473,0;40383,0;47475,0;56663,0;61906,0;70901,0;91226,0;101399,0;109921,0;121940,0;;;;
Ribeirão;2611804;74220,0;86211,0;93294,0;106977,0;113718,0;129933,0;143866,0;144658,0;182539,0;219329,0;256764,0;265329,0;281938,0;;;;
Rio Formoso;2611903;65370,0;74606,0;84654,0;84425,0;99481,0;122841,0;148015,0;127526,0;133359,0;155488,0;156494,0;175945,0;204771,0;;;;
Sairé;2612000;18328,0;21699,0;26679,0;30527,0;34980,0;42390,0;43733,0;48283,0;56105,0;61963,0;85390,0;81348,0;82865,0;;;;
Salgadinho;2612109;9469,0;10229,0;11491,0;12632,0;13579,0;15947,0;17836,0;20087,0;22922,0;26391,0;53841,0;38324,0;41204,0;;;;
Salgueiro;2612208;108330,0;117955,0;139124,0;144096,0;152680,0;186085,0;204498,0;235621,0;275114,0;317388,0;445562,0;560606,0;626379,0;;;;
Saloá;2612307;19648,0;22135,0;23958,0;27546,0;31092,0;35818,0;41215,0;47242,0;56656,0;62806,0;70528,0;77366,0;85886,0;;;;
Sanharó;2612406;30011,0;31299,0;35148,0;39107,0;42415,0;50271,0;55808,0;64863,0;71515,0;83536,0;104645,0;114557,0;126444,0;;;;
Santa Cruz;2612455;16013,0;15978,0;19065,0;20208,0;22110,0;26493,0;32341,0;34928,0;47559,0;54185,0;58341,0;69126,0;69404,0;;;;
Santa Cruz da Baixa Verde;2612471;12770,0;14350,0;15929,0;17771,0;19051,0;22083,0;26584,0;28610,0;34115,0;36944,0;42207,0;47370,0;53213,0;;;;
Santa Cruz do Capibaribe;2612505;120448,0;146301,0;168671,0;179757,0;206785,0;239435,0;290396,0;330493,0;383294,0;400885,0;581739,0;681544,0;766084,0;;;;
Santa Filomena;2612554;14409,0;15437,0;19090,0;20231,0;22436,0;27106,0;31210,0;31997,0;40151,0;45567,0;53281,0;56783,0;61472,0;;;;
Santa Maria da Boa Vista;2612604;70307,0;84926,0;105694,0;128080,0;154448,0;180666,0;203426,0;209114,0;280784,0;237751,0;275132,0;263879,0;304324,0;;;;
Santa Maria do Cambucá;2612703;15097,0;17072,0;19444,0;21782,0;22600,0;27551,0;32861,0;37204,0;42345,0;48626,0;72776,0;76069,0;71135,0;;;;
Santa Terezinha;2612802;15445,0;15585,0;19246,0;19900,0;22502,0;24877,0;27378,0;29170,0;32595,0;36562,0;42550,0;48705,0;53873,0;;;;
São Benedito do Sul;2612901;15195,0;15603,0;17079,0;18832,0;20513,0;26068,0;27389,0;31272,0;34419,0;38383,0;52136,0;65373,0;70839,0;;;;
São Bento do Una;2613008;77258,0;87650,0;104509,0;141559,0;121591,0;159328,0;174461,0;210799,0;230103,0;272652,0;285714,0;341180,0;384994,0;;;;
São Caitano;2613107;46720,0;53556,0;58898,0;62153,0;71582,0;82566,0;94542,0;101908,0;114012,0;132670,0;158685,0;181714,0;198997,0;;;;
São João;2613206;24294,0;32280,0;36509,0;46619,0;52462,0;51519,0;61850,0;74032,0;73697,0;95544,0;103768,0;113840,0;126364,0;;;;
São Joaquim do Monte;2613305;34800,0;35367,0;42698,0;45544,0;50341,0;60424,0;59258,0;64994,0;74369,0;88826,0;113585,0;115639,0;110805,0;;;;
São José da Coroa Grande;2613404;24250,0;30451,0;32067,0;34149,0;38757,0;41758,0;49577,0;54360,0;61890,0;73033,0;87516,0;109382,0;120117,0;;;;
São José do Belmonte;2613503;48813,0;56131,0;56543,0;66221,0;70962,0;79191,0;93585,0;97077,0;108710,0;123321,0;142010,0;160855,0;173391,0;;;;
São José do Egito;2613602;52302,0;55537,0;66416,0;71825,0;75911,0;90681,0;107418,0;119100,0;131039,0;141741,0;162210,0;180805,0;199740,0;;;;
São Lourenço da Mata;2613701;154527,0;185742,0;230280,0;238798,0;252735,0;262578,0;286443,0;310031,0;368988,0;438089,0;523964,0;611064,0;711930,0;;;;
São Vicente Ferrer;2613800;28994,0;45174,0;36711,0;42701,0;47985,0;57835,0;66576,0;63149,0;73006,0;74116,0;94961,0;100650,0;117474,0;;;;
Serra Talhada;2613909;156448,0;177379,0;215435,0;234226,0;259930,0;309995,0;362533,0;433131,0;498564,0;551430,0;714714,0;821021,0;921058,0;;;;
Serrita;2614006;21126,0;24942,0;28421,0;30863,0;34394,0;39140,0;44603,0;50959,0;60727,0;69337,0;78313,0;88935,0;96662,0;;;;
Sertânia;2614105;52406,0;59517,0;64201,0;71505,0;82135,0;93239,0;103058,0;112844,0;135410,0;163771,0;198499,0;204426,0;216363,0;;;;
Sirinhaém;2614204;76514,0;88745,0;104919,0;112069,0;135896,0;146921,0;165833,0;165485,0;183328,0;221455,0;320404,0;319425,0;354001,0;;;;
Moreilândia;2614303;16764,0;17351,0;19371,0;22365,0;23849,0;27415,0;30578,0;32471,0;37251,0;43239,0;50720,0;53704,0;57545,0;;;;
Solidão;2614402;7226,0;7982,0;9951,0;11478,0;11719,0;13404,0;16275,0;17101,0;17963,0;23006,0;25243,0;28119,0;30223,0;;;;
Surubim;2614501;88265,0;99597,0;112118,0;120215,0;171148,0;160196,0;186366,0;205219,0;236228,0;269852,0;359277,0;394258,0;435891,0;;;;
Tabira;2614600;33521,0;37265,0;45354,0;49666,0;56010,0;65642,0;75029,0;79467,0;90605,0;101693,0;113274,0;130789,0;149597,0;;;;
Tacaimbó;2614709;18897,0;21003,0;23937,0;25151,0;28033,0;31593,0;36214,0;38773,0;43419,0;50042,0;55850,0;63992,0;65672,0;;;;
Tacaratu;2614808;22787,0;25725,0;27886,0;31354,0;34456,0;40598,0;46899,0;52444,0;62885,0;71538,0;87292,0;99157,0;107524,0;;;;
Tamandaré;2614857;40350,0;46605,0;46093,0;51237,0;57111,0;71958,0;80526,0;79212,0;99143,0;109127,0;138208,0;182091,0;193268,0;;;;
Taquaritinga do Norte;2615003;32889,0;37551,0;44700,0;48694,0;54147,0;59214,0;66451,0;71165,0;87202,0;103842,0;116785,0;136531,0;156369,0;;;;
Terezinha;2615102;8434,0;9718,0;10477,0;14029,0;14828,0;15908,0;17267,0;20387,0;23276,0;26534,0;32153,0;34672,0;35720,0;;;;
Terra Nova;2615201;12026,0;14134,0;14755,0;15527,0;20526,0;25870,0;25244,0;32444,0;35598,0;73472,0;44368,0;50053,0;55684,0;;;;
Timbaúba;2615300;143180,0;155967,0;160729,0;192074,0;215377,0;236702,0;280388,0;303103,0;337464,0;404724,0;448594,0;477569,0;495254,0;;;;
Toritama;2615409;36403,0;43174,0;52400,0;61938,0;78175,0;92312,0;108258,0;122679,0;137619,0;149176,0;223471,0;293764,0;387474,0;;;;
Tracunhaém;2615508;24435,0;27810,0;31515,0;36207,0;35394,0;40810,0;47344,0;46585,0;53553,0;64255,0;71624,0;74278,0;74319,0;;;;
Trindade;2615607;38020,0;43198,0;48861,0;52293,0;54631,0;66231,0;78534,0;80366,0;99362,0;112360,0;141574,0;162767,0;191665,0;;;;
Triunfo;2615706;20644,0;23225,0;27637,0;29702,0;31240,0;36346,0;42099,0;45776,0;51630,0;59698,0;69335,0;71905,0;83384,0;;;;
Tupanatinga;2615805;24621,0;27426,0;30599,0;35172,0;40226,0;48097,0;54788,0;64873,0;77177,0;87066,0;110213,0;120015,0;124862,0;;;;
Tuparetama;2615904;13827,0;14881,0;17752,0;20038,0;19728,0;23036,0;27548,0;29796,0;33655,0;37045,0;39656,0;45207,0;51332,0;;;;
Venturosa;2616001;21545,0;24141,0;28961,0;33531,0;38570,0;46378,0;52687,0;60143,0;69518,0;79873,0;91145,0;102114,0;109213,0;;;;
Verdejante;2616100;11789,0;13733,0;15309,0;17104,0;18618,0;22304,0;25680,0;25053,0;35095,0;37606,0;40854,0;44187,0;48985,0;;;;
Vertente do Lério;2616183;17409,0;18590,0;19011,0;18176,0;22946,0;23099,0;27647,0;29942,0;33482,0;37395,0;63606,0;63965,0;52136,0;;;;
Vertentes;2616209;20033,0;22861,0;26294,0;30079,0;33342,0;38596,0;45494,0;49161,0;57680,0;66013,0;95145,0;105107,0;106729,0;;;;
Vicência;2616308;55915,0;84601,0;84520,0;97618,0;101494,0;120907,0;126088,0;125251,0;145735,0;162028,0;184386,0;205965,0;221756,0;;;;
Vitória de Santo Antão;2616407;306252,0;358613,0;388778,0;449392,0;545975,0;615932,0;666889,0;742325,0;883603,0;1050231,0;1408677,0;1663579,0;1950780,0;;;;
Xexéu;2616506;19478,0;21860,0;23146,0;25336,0;29523,0;34444,0;37482,0;41852,0;47630,0;58247,0;63899,0;71109,0;72011,0;;;;
Água Branca;2700102;26242,0;28576,0;27577,0;27708,0;31505,0;39366,0;43029,0;49068,0;56162,0;59310,0;68127,0;84034,0;90968,0;;;;
Anadia;2700201;35531,0;37640,0;40218,0;43271,0;43787,0;50119,0;56249,0;57041,0;63229,0;72247,0;74346,0;83133,0;87272,0;;;;
Arapiraca;2700300;473630,0;508520,0;593029,0;657961,0;774796,0;896794,0;1064976,0;1306685,0;1389560,0;1660256,0;1878446,0;2172489,0;2416888,0;;;;
Atalaia;2700409;80252,0;83158,0;98021,0;125182,0;150702,0;153883,0;164724,0;168516,0;199108,0;209124,0;228756,0;292237,0;277360,0;;;;
Barra de Santo Antônio;2700508;20642,0;21408,0;22526,0;25395,0;31249,0;36093,0;41331,0;43834,0;50764,0;53312,0;61297,0;67264,0;65373,0;;;;
Barra de São Miguel;2700607;18505,0;18431,0;21259,0;26279,0;29974,0;32419,0;34382,0;38749,0;42589,0;47484,0;51400,0;59541,0;63045,0;;;;
Batalha;2700706;43174,0;49585,0;47897,0;56085,0;55532,0;55731,0;52331,0;60992,0;73608,0;66315,0;73335,0;80313,0;88662,0;;;;
Belém;2700805;8715,0;9091,0;9449,0;11011,0;12347,0;13473,0;14993,0;15513,0;17713,0;19574,0;21031,0;20814,0;23433,0;;;;
Belo Monte;2700904;14036,0;17331,0;17678,0;19385,0;19170,0;19798,0;20852,0;35758,0;25269,0;30634,0;34530,0;34844,0;36469,0;;;;
Boca da Mata;2701001;70989,0;76641,0;90548,0;102418,0;111107,0;119292,0;126193,0;91218,0;129465,0;152523,0;163806,0;212761,0;213593,0;;;;
Branquinha;2701100;19043,0;23597,0;19598,0;21555,0;23586,0;28029,0;31169,0;33568,0;37136,0;42083,0;44822,0;49947,0;51108,0;;;;
Cacimbinhas;2701209;18913,0;19630,0;19090,0;19159,0;21726,0;25497,0;27365,0;30525,0;37232,0;39320,0;42979,0;44925,0;51433,0;;;;
Cajueiro;2701308;31282,0;33150,0;38244,0;50478,0;49875,0;58231,0;63987,0;52988,0;74192,0;77848,0;85200,0;104116,0;121159,0;;;;
Campestre;2701357;13267,0;22403,0;13714,0;20363,0;14344,0;14860,0;17557,0;19121,0;21998,0;25809,0;28221,0;30769,0;34953,0;;;;
Campo Alegre;2701407;73263,0;86921,0;98921,0;123149,0;130895,0;152575,0;159796,0;115118,0;154838,0;182531,0;208365,0;263185,0;274317,0;;;;
Campo Grande;2701506;13217,0;14037,0;13393,0;15855,0;18048,0;20497,0;22848,0;25651,0;29473,0;32380,0;33585,0;35563,0;40432,0;;;;
Canapi;2701605;20116,0;19949,0;20091,0;20409,0;23111,0;29460,0;34085,0;41088,0;50828,0;53410,0;59418,0;65147,0;65130,0;;;;
Capela;2701704;38580,0;42118,0;48197,0;47149,0;53734,0;53958,0;57924,0;61314,0;67886,0;73138,0;83309,0;99222,0;98712,0;;;;
Carneiros;2701803;6704,0;7732,0;11944,0;9795,0;12586,0;14209,0;16109,0;19860,0;22636,0;24813,0;27392,0;29413,0;31885,0;;;;
Chã Preta;2701902;11889,0;16016,0;14391,0;14650,0;16956,0;19397,0;21400,0;23311,0;25262,0;26954,0;31780,0;32953,0;37058,0;;;;
Coité do Nóia;2702009;18171,0;18893,0;18142,0;19880,0;20040,0;23459,0;25139,0;26647,0;32064,0;31413,0;35821,0;37770,0;42674,0;;;;
Colônia Leopoldina;2702108;42035,0;46906,0;47441,0;65237,0;75326,0;83964,0;69901,0;71440,0;99726,0;106663,0;111862,0;134206,0;117685,0;;;;
Coqueiro Seco;2702207;7644,0;8665,0;8964,0;9798,0;11215,0;12600,0;14432,0;15942,0;17917,0;19780,0;22406,0;24883,0;26427,0;;;;
Coruripe;2702306;233478,0;268593,0;318055,0;438855,0;421426,0;435550,0;461017,0;423793,0;450239,0;463485,0;541955,0;826685,0;729741,0;;;;
Craíbas;2702355;32508,0;28794,0;35510,0;35742,0;39325,0;43908,0;48135,0;57735,0;71207,0;73571,0;82487,0;83113,0;93471,0;;;;
Delmiro Gouveia;2702405;104688,0;104020,0;137999,0;162944,0;191031,0;193630,0;217186,0;262652,0;266457,0;276148,0;309911,0;358781,0;392709,0;;;;
Dois Riachos;2702504;13562,0;14503,0;16586,0;17357,0;19949,0;22991,0;27499,0;28719,0;32881,0;35119,0;37647,0;38020,0;41140,0;;;;
Estrela de Alagoas;2702553;17411,0;19350,0;21408,0;23236,0;26454,0;31043,0;34742,0;37979,0;43837,0;48973,0;56133,0;64238,0;64769,0;;;;
Feira Grande;2702603;33065,0;34737,0;37173,0;39613,0;37971,0;42538,0;45063,0;52891,0;62718,0;67087,0;76811,0;80043,0;90718,0;;;;
Feliz Deserto;2702702;7650,0;8603,0;15724,0;16273,0;19623,0;24967,0;31791,0;36774,0;41868,0;34090,0;36982,0;48953,0;41713,0;;;;
Flexeiras;2702801;22275,0;24961,0;23549,0;26650,0;25744,0;28715,0;32425,0;33785,0;40783,0;45637,0;51245,0;55127,0;58762,0;;;;
Girau do Ponciano;2702900;60902,0;63737,0;75720,0;63268,0;67730,0;70685,0;77540,0;88016,0;105982,0;111745,0;128579,0;127204,0;155736,0;;;;
Ibateguara;2703007;20902,0;23426,0;25119,0;24182,0;28104,0;33299,0;36632,0;44230,0;52030,0;56481,0;60223,0;64719,0;71732,0;;;;
Igaci;2703106;32439,0;36044,0;38986,0;41677,0;49474,0;55896,0;62672,0;66964,0;76483,0;81479,0;93067,0;94753,0;104019,0;;;;
Igreja Nova;2703205;57340,0;68188,0;78142,0;104938,0;114091,0;128851,0;110193,0;135998,0;161832,0;129773,0;143564,0;219963,0;238738,0;;;;
Inhapi;2703304;21599,0;21371,0;21925,0;21887,0;24774,0;30726,0;33182,0;36074,0;43321,0;49076,0;58417,0;59680,0;66235,0;;;;
Jacaré dos Homens;2703403;16900,0;19729,0;17468,0;15729,0;17382,0;18080,0;24578,0;26818,0;30958,0;30905,0;31759,0;33307,0;35376,0;;;;
Jacuípe;2703502;17562,0;19070,0;14216,0;16377,0;17244,0;19330,0;20276,0;21068,0;25058,0;29351,0;32726,0;33725,0;32344,0;;;;
Japaratinga;2703601;16406,0;19612,0;15961,0;16366,0;17134,0;18442,0;21939,0;24642,0;27003,0;30536,0;33921,0;35852,0;34785,0;;;;
Jaramataia;2703700;12701,0;15570,0;15690,0;14916,0;16616,0;17995,0;18234,0;20059,0;23866,0;23573,0;24986,0;25254,0;25595,0;;;;
Jequiá da Praia;2703759;0,0;46665,0;58835,0;83938,0;93483,0;96955,0;102127,0;59498,0;97040,0;108552,0;117396,0;160458,0;157282,0;;;;
Joaquim Gomes;2703809;31442,0;35671,0;37653,0;46505,0;42191,0;41190,0;47372,0;51764,0;58852,0;67137,0;78056,0;80982,0;92426,0;;;;
Jundiá;2703908;11913,0;11169,0;10815,0;11733,0;11196,0;13321,0;16475,0;17285,0;19380,0;21859,0;25450,0;27270,0;24307,0;;;;
Junqueiro;2704005;46399,0;50792,0;57678,0;60693,0;55499,0;67568,0;72582,0;76815,0;90146,0;98238,0;110696,0;121841,0;132832,0;;;;
Lagoa da Canoa;2704104;29442,0;30098,0;38832,0;34328,0;37289,0;39930,0;40502,0;46831,0;56706,0;60536,0;68611,0;67628,0;74720,0;;;;
Limoeiro de Anadia;2704203;27673,0;29602,0;32348,0;37130,0;42172,0;48320,0;52697,0;56241,0;64635,0;74286,0;89279,0;99274,0;101433,0;;;;
Maceió;2704302;3277988,0;3529556,0;4304935,0;4886010,0;5851465,0;6319445,0;7267950,0;8510435,0;9125210,0;10257022,0;12098885,0;13733064,0;13694808,0;;;;
Major Isidoro;2704401;28875,0;31204,0;33745,0;34572,0;40192,0;47594,0;50461,0;56111,0;65330,0;74024,0;82089,0;82815,0;97191,0;;;;
Maragogi;2704500;41334,0;46275,0;43666,0;53767,0;64641,0;73361,0;81528,0;84990,0;101151,0;115214,0;129616,0;146891,0;149928,0;;;;
Maravilha;2704609;15321,0;16039,0;17989,0;18409,0;21017,0;24847,0;25615,0;28040,0;31894,0;33905,0;38280,0;41408,0;45132,0;;;;
Marechal Deodoro;2704708;276569,0;254144,0;307289,0;428646,0;543116,0;587370,0;654297,0;742664,0;740840,0;620360,0;761101,0;911190,0;1122913,0;;;;
Maribondo;2704807;21086,0;21733,0;25143,0;29519,0;28732,0;34394,0;38166,0;42989,0;48758,0;55084,0;60973,0;66190,0;71545,0;;;;
Mar Vermelho;2704906;5796,0;6504,0;6971,0;7289,0;8166,0;9830,0;10162,0;11551,0;13419,0;15075,0;16056,0;15927,0;16903,0;;;;
Mata Grande;2705002;31732,0;32598,0;33602,0;33481,0;36073,0;47805,0;54427,0;57453,0;66468,0;70763,0;78124,0;84339,0;88372,0;;;;
Matriz de Camaragibe;2705101;52290,0;57398,0;55644,0;70816,0;71384,0;76229,0;79962,0;85996,0;96273,0;102211,0;113237,0;141624,0;156616,0;;;;
Messias;2705200;20314,0;23575,0;23469,0;25700,0;31513,0;35191,0;42012,0;44659,0;51966,0;62181,0;68353,0;80503,0;76922,0;;;;
Minador do Negrão;2705309;10034,0;11061,0;10761,0;11922,0;13141,0;14360,0;15886,0;18393,0;21486,0;22707,0;24365,0;25137,0;26723,0;;;;
Monteirópolis;2705408;8436,0;10057,0;11691,0;11287,0;12509,0;15417,0;17432,0;19294,0;22495,0;23013,0;25593,0;28565,0;28313,0;;;;
Murici;2705507;40867,0;44681,0;44193,0;53437,0;58272,0;66497,0;75122,0;85251,0;104321,0;109135,0;123037,0;136759,0;146426,0;;;;
Novo Lino;2705606;15908,0;19668,0;20745,0;22771,0;23739,0;27120,0;30119,0;34821,0;41294,0;47068,0;56062,0;62848,0;65128,0;;;;
Olho d'Água das Flores;2705705;50630,0;55871,0;73900,0;74164,0;88573,0;91735,0;106026,0;125485,0;76209,0;70473,0;86923,0;95770,0;107392,0;;;;
Olho d'Água do Casado;2705804;11438,0;10890,0;11481,0;11671,0;13323,0;17063,0;18936,0;22219,0;25305,0;27788,0;33641,0;35206,0;36934,0;;;;
Olho d'Água Grande;2705903;6585,0;7621,0;7852,0;8637,0;9707,0;11152,0;11923,0;13650,0;15280,0;16468,0;19485,0;19096,0;21256,0;;;;
Olivença;2706000;10493,0;12042,0;13517,0;13891,0;17225,0;19867,0;22888,0;26311,0;31315,0;33453,0;40004,0;44363,0;47228,0;;;;
Ouro Branco;2706109;10608,0;12692,0;12722,0;14419,0;16977,0;19860,0;22667,0;28438,0;30519,0;32755,0;36012,0;38689,0;41223,0;;;;
Palestina;2706208;5616,0;6553,0;7323,0;7558,0;8574,0;10364,0;11263,0;12438,0;14551,0;15486,0;17130,0;17265,0;19690,0;;;;
Palmeira dos Índios;2706307;153331,0;167064,0;191052,0;191598,0;223338,0;239958,0;263789,0;307711,0;336304,0;358734,0;414349,0;465129,0;516042,0;;;;
Pão de Açúcar;2706406;35380,0;39456,0;46216,0;43358,0;49304,0;60395,0;66088,0;68704,0;78200,0;85410,0;124300,0;127925,0;133356,0;;;;
Pariconha;2706422;15260,0;16162,0;13737,0;15267,0;16425,0;22402,0;24280,0;25633,0;30475,0;32553,0;34386,0;36863,0;37472,0;;;;
Paripueira;2706448;17175,0;16999,0;20309,0;20544,0;25204,0;29260,0;32229,0;33617,0;38239,0;44012,0;55766,0;62488,0;59400,0;;;;
Passo de Camaragibe;2706505;30293,0;32369,0;29511,0;37164,0;38736,0;41377,0;44704,0;46997,0;52353,0;59842,0;68923,0;74478,0;72273,0;;;;
Paulo Jacinto;2706604;11868,0;12561,0;13230,0;13882,0;14914,0;17175,0;18354,0;20132,0;23435,0;24432,0;27036,0;28432,0;31374,0;;;;
Penedo;2706703;116583,0;130279,0;143169,0;170942,0;200336,0;233772,0;228203,0;250138,0;277661,0;313498,0;351296,0;395733,0;433241,0;;;;
Piaçabuçu;2706802;25684,0;28470,0;30027,0;33376,0;39386,0;44342,0;50715,0;54982,0;57652,0;66814,0;77910,0;83717,0;84668,0;;;;
Pilar;2706901;59740,0;66247,0;96479,0;104888,0;131003,0;157506,0;181445,0;201964,0;211240,0;174180,0;204367,0;250114,0;314974,0;;;;
Pindoba;2707008;5808,0;5067,0;5679,0;5886,0;7093,0;7926,0;9842,0;11095,0;12516,0;14857,0;15608,0;16749,0;17042,0;;;;
Piranhas;2707107;25200,0;24914,0;30228,0;32600,0;37660,0;46309,0;50606,0;57810,0;65293,0;73448,0;79908,0;87966,0;92544,0;;;;
Poço das Trincheiras;2707206;13358,0;16203,0;16268,0;17378,0;19711,0;23427,0;24545,0;29062,0;33759,0;36345,0;43333,0;47816,0;49644,0;;;;
Porto Calvo;2707305;62962,0;63834,0;57907,0;78988,0;93850,0;98642,0;80085,0;84041,0;116537,0;131065,0;148778,0;173887,0;200391,0;;;;
Porto de Pedras;2707404;20357,0;21401,0;17229,0;21273,0;21526,0;23082,0;26009,0;28343,0;32976,0;37248,0;37316,0;40479,0;39056,0;;;;
Porto Real do Colégio;2707503;27828,0;31587,0;29451,0;28767,0;34698,0;38001,0;41468,0;45168,0;53711,0;59957,0;69214,0;76264,0;81146,0;;;;
Quebrangulo;2707602;16135,0;17166,0;18342,0;20351,0;22241,0;27355,0;30377,0;34315,0;40707,0;43238,0;56364,0;58268,0;64056,0;;;;
Rio Largo;2707701;189463,0;230451,0;248360,0;211950,0;239433,0;304130,0;263472,0;287296,0;333729,0;364414,0;437912,0;526870,0;603644,0;;;;
Roteiro;2707800;14668,0;16494,0;18246,0;20317,0;31719,0;32012,0;37220,0;37185,0;36613,0;38820,0;41716,0;49688,0;50659,0;;;;
Santa Luzia do Norte;2707909;35544,0;48208,0;50839,0;61392,0;70069,0;49179,0;54075,0;69649,0;69493,0;53498,0;62217,0;77492,0;46632,0;;;;
Santana do Ipanema;2708006;62439,0;68402,0;78957,0;88899,0;126957,0;122450,0;139599,0;160341,0;184763,0;194071,0;219199,0;237903,0;258177,0;;;;
Santana do Mundaú;2708105;61905,0;80404,0;76000,0;27549,0;26846,0;37861,0;36326,0;39199,0;44931,0;52181,0;54473,0;60380,0;76745,0;;;;
São Brás;2708204;10002,0;10900,0;12271,0;13019,0;15174,0;18510,0;21637,0;21984,0;24291,0;27586,0;52504,0;55128,0;56947,0;;;;
São José da Laje;2708303;55319,0;67301,0;65263,0;94132,0;92450,0;112418,0;105767,0;119546,0;127845,0;147690,0;159668,0;190238,0;190901,0;;;;
São José da Tapera;2708402;28098,0;37437,0;32526,0;36299,0;41554,0;49626,0;57865,0;67167,0;78205,0;85238,0;97636,0;114505,0;119658,0;;;;
São Luís do Quitunde;2708501;120185,0;114043,0;117545,0;137228,0;162895,0;155454,0;159149,0;187862,0;182781,0;179791,0;219394,0;299711,0;305825,0;;;;
São Miguel dos Campos;2708600;266715,0;290461,0;326138,0;422479,0;409314,0;448214,0;503690,0;545333,0;589436,0;524310,0;609404,0;863380,0;884362,0;;;;
São Miguel dos Milagres;2708709;10244,0;10843,0;10326,0;11871,0;15493,0;17573,0;21480,0;23040,0;26367,0;29822,0;33055,0;36033,0;37740,0;;;;
São Sebastião;2708808;46515,0;55056,0;54526,0;57590,0;64533,0;79063,0;86018,0;97183,0;113151,0;123158,0;137442,0;165770,0;162926,0;;;;
Satuba;2708907;15201,0;17556,0;23581,0;31257,0;32177,0;36569,0;44869,0;51843,0;54672,0;56132,0;62409,0;86710,0;71534,0;;;;
Senador Rui Palmeira;2708956;10219,0;11614,0;13726,0;15632,0;18257,0;21838,0;24052,0;27605,0;31749,0;35279,0;39894,0;43717,0;45224,0;;;;
Tanque d'Arca;2709004;8286,0;9035,0;9200,0;10261,0;11773,0;12891,0;14254,0;15030,0;17355,0;18510,0;22895,0;24875,0;25003,0;;;;
Taquarana;2709103;22591,0;27076,0;27730,0;35888,0;35997,0;41756,0;43294,0;50144,0;63366,0;67537,0;73902,0;78914,0;90396,0;;;;
Teotônio Vilela;2709152;54847,0;65265,0;84459,0;102326,0;116950,0;134538,0;145489,0;123634,0;162509,0;187145,0;214585,0;246472,0;263853,0;;;;
Traipu;2709202;31285,0;34881,0;37934,0;36526,0;39576,0;44574,0;48382,0;53118,0;63322,0;68585,0;77670,0;78892,0;87382,0;;;;
União dos Palmares;2709301;133435,0;145485,0;166522,0;199548,0;200546,0;218052,0;244244,0;278586,0;338625,0;401097,0;378141,0;484169,0;535734,0;;;;
Viçosa;2709400;38811,0;42580,0;47055,0;54610,0;57515,0;64572,0;71939,0;76008,0;86578,0;95712,0;102739,0;119099,0;127419,0;;;;
Amparo de São Francisco;2800100;4058,0;4729,0;5509,0;6638,0;7630,0;8910,0;10661,0;10908,0;12403,0;12819,0;14878,0;16740,0;18469,0;;;;
Aquidabã;2800209;33777,0;38564,0;44256,0;54988,0;62806,0;66806,0;76335,0;86428,0;99545,0;104242,0;115169,0;124537,0;142671,0;;;;
Aracaju;2800308;2834391,0;3214083,0;3719788,0;3903769,0;4519181,0;5197568,0;5633122,0;6268972,0;6759420,0;7104252,0;8748078,0;9221547,0;9813852,0;;;;
Arauá;2800407;19875,0;24600,0;25657,0;34557,0;34321,0;41158,0;48261,0;49608,0;56542,0;66835,0;59410,0;70845,0;70589,0;;;;
Areia Branca;2800506;29445,0;33550,0;42680,0;53324,0;53621,0;64522,0;70023,0;70983,0;81976,0;88716,0;93358,0;100845,0;130048,0;;;;
Barra dos Coqueiros;2800605;71415,0;91521,0;107028,0;121771,0;137819,0;180831,0;215287,0;195632,0;205946,0;168699,0;246278,0;320396,0;333515,0;;;;
Boquim;2800670;56256,0;59660,0;65527,0;74426,0;81668,0;96111,0;115119,0;121870,0;132724,0;140938,0;167933,0;178491,0;294652,0;;;;
Brejo Grande;2800704;13384,0;17747,0;20519,0;25095,0;28333,0;28427,0;34130,0;36253,0;41064,0;40003,0;45141,0;53022,0;57111,0;;;;
Campo do Brito;2801009;33603,0;34376,0;39445,0;47519,0;49390,0;54055,0;60265,0;65862,0;75134,0;83451,0;100541,0;105993,0;116939,0;;;;
Canhoba;2801108;6920,0;8422,0;9157,0;10628,0;12506,0;13862,0;16448,0;16845,0;19960,0;21748,0;24067,0;27825,0;30209,0;;;;
Canindé de São Francisco;2801207;77788,0;565031,0;745846,0;933625,0;1052424,0;885008,0;782140,0;892020,0;1126089,0;907921,0;1326837,0;1184115,0;1399831,0;;;;
Capela;2801306;50912,0;58875,0;64467,0;74812,0;83571,0;93860,0;116688,0;131936,0;379879,0;373383,0;384233,0;298506,0;267146,0;;;;
Carira;2801405;31513,0;35997,0;43295,0;48157,0;54687,0;58625,0;69489,0;80751,0;152413,0;135070,0;196470,0;179786,0;147503,0;;;;
Carmópolis;2801504;37645,0;75137,0;97444,0;137505,0;157588,0;207892,0;293480,0;334436,0;398268,0;283920,0;399983,0;543266,0;620407,0;;;;
